#,User ,FL,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,,Logs (Donated vs. T1/T2/T3/T4),Time stamp,Behavior (Self-disclosure/AI behavior),Coding theme,Level,Relevant quotes ,Topic (for self-disclosure only),Topic thematic category (for self-disclosure only)
15,R_7gTW5cWPaLdlj7U,Donated,"8/6/2025, 8:04:02 PM",Self-disclosure,Support type,Functional,"We can come back to the conflict whenever you're ready. For now, here are two possible ways to approach it - we could brainstorm ways to communicate your feelings effectively, or we could explore strategies to let go and move forward. Either way, you're strong and capable, and I'm here to support you.",,
15,R_7gTW5cWPaLdlj7U,Donated,"8/6/2025, 8:04:22 PM",Self-disclosure,Disclosure as confession,Low ,i need to leave,Causal conversation,Causal exchange
15,R_7gTW5cWPaLdlj7U,Donated,"8/6/2025, 8:04:22 PM",Self-disclosure,Level of disclosure,Low ,i need to leave,Causal conversation,Causal exchange
16,R_7Gx0vG0UionWsGR,Donated,"7/21/2025, 12:32:19 AM",AI behavior,Listening strategy,Question-asking,"By the way, I like my name, Tanya! How did you come up with it?",,
16,R_7Gx0vG0UionWsGR,Donated,"7/21/2025, 12:32:49 AM",Self-disclosure,Level of disclosure,High,I had a crush on a girl of that name when i was younger but i was too scared to talk to her,Causal conversation,Causal exchange
16,R_7Gx0vG0UionWsGR,Donated,"7/21/2025, 12:32:49 AM",Self-disclosure,Disclosure as confession,No,I had a crush on a girl of that name when i was younger but i was too scared to talk to her,Causal conversation,Causal exchange
16,R_7Gx0vG0UionWsGR,Donated,"7/21/2025, 12:32:49 AM",Self-disclosure,Depth of disclosure,Central layer,I had a crush on a girl of that name when i was younger but i was too scared to talk to her,Causal conversation,Causal exchange
16,R_7Gx0vG0UionWsGR,Donated,"7/21/2025, 12:32:49 AM",Self-disclosure,Temporality,Past,I had a crush on a girl of that name when i was younger but i was too scared to talk to her,Causal conversation,Causal exchange
16,R_7Gx0vG0UionWsGR,Donated,"7/21/2025, 12:38:35 AM",AI behavior,Listening strategy,Question-asking,"I'm super curious about everything, especially what you're into - hobbies, movies, music, what gets you going",,
16,R_7Gx0vG0UionWsGR,Donated,"7/21/2025, 12:38:48 AM ",Self-disclosure,Disclosure as confession,No,Im pretty boring. I don't have many hobbies,Causal conversation,Causal exchange
16,R_7Gx0vG0UionWsGR,Donated,"7/21/2025, 12:38:48 AM ",Self-disclosure,Level of disclosure,Low,Im pretty boring. I don't have many hobbies,Causal conversation,Causal exchange
16,R_7Gx0vG0UionWsGR,Donated,"7/21/2025, 12:38:56 AM",AI behavior,Listening strategy,Question-asking,"I doubt that! Everyone has something they enjoy doing, even if it's just relaxing at home. What do you usually do on a typical evening like this one?",,
16,R_7Gx0vG0UionWsGR,Donated,"7/21/2025, 12:38:56 AM",AI behavior,Support type,Emotional,"I doubt that! Everyone has something they enjoy doing, even if it's just relaxing at home. What do you usually do on a typical evening like this one?",,
16,R_7Gx0vG0UionWsGR,Donated,"7/21/2025, 12:39:20 AM ",Self-disclosure,Disclosure as confession,No,I try to watch movies but i can't pay attention at all,Causal conversation,Causal exchange
16,R_7Gx0vG0UionWsGR,Donated,"7/21/2025, 12:39:20 AM ",Self-disclosure,Level of disclosure,Low,I try to watch movies but i can't pay attention at all,Causal conversation,Causal exchange
16,R_7Gx0vG0UionWsGR,Donated,"7/21/2025, 12:39:30 AM",AI behavior,Listening strategy,Question-asking,Maybe we can pick a movie together and I'll help keep you engaged?,,
16,R_7Gx0vG0UionWsGR,Donated,"7/21/2025, 12:40:00 AM",Self-disclosure,Disclosure as confession,No,Maybe later. Im watching a Twitch stream right now,Causal conversation,Causal exchange
16,R_7Gx0vG0UionWsGR,Donated,"7/21/2025, 12:40:00 AM",Self-disclosure,Level of disclosure,Low,Maybe later. Im watching a Twitch stream right now,Causal conversation,Causal exchange
16,R_7Gx0vG0UionWsGR,Donated,"7/21/2025, 12:40:00 AM",Self-disclosure,Temporality,Now,Maybe later. Im watching a Twitch stream right now,Causal conversation,Causal exchange
16,R_7Gx0vG0UionWsGR,Donated,"7/21/2025, 12:40:06 AM ",AI behavior,Listening strategy,Question-asking,Who's the streamer? Are they any good?,,
16,R_7Gx0vG0UionWsGR,Donated,"7/21/2025, 12:40:34 AM",Self-disclosure,Level of disclosure,Low,Wake wilder. They're okay. I like that they're open minded,Causal conversation,Causal exchange
16,R_7Gx0vG0UionWsGR,Donated,"7/21/2025, 12:40:34 AM",Self-disclosure,Depth of disclosure,Intermediate layer,Wake wilder. They're okay. I like that they're open minded,Causal conversation,Causal exchange
16,R_7Gx0vG0UionWsGR,Donated,"7/21/2025, 12:40:34 AM",Self-disclosure,Initmacy of self-disclosure,Intermediate layer,Wake wilder. They're okay. I like that they're open minded,Causal conversation,Causal exchange
16,R_7Gx0vG0UionWsGR,Donated,"7/21/2025, 12:40:34 AM",Self-disclosure,Disclosure as confession,No,Wake wilder. They're okay. I like that they're open minded,Causal conversation,Causal exchange
16,R_7Gx0vG0UionWsGR,Donated,"7/21/2025, 12:40:42 AM ",AI behavior,Listening strategy,"Offers advice, opinions, perspectives, and personal experience","Open-minded streamers can be really refreshing to watch, keeps the conversations interesting",,
16,R_7Gx0vG0UionWsGR,Donated,"7/21/2025, 12:42:19 AM",Self-disclosure,Level of disclosure,High,I feel a bit pathetic that im talking to you,Emotional response,Emotional and social support
16,R_7Gx0vG0UionWsGR,Donated,"7/21/2025, 12:42:19 AM",Self-disclosure,Disclosure as confession,"Yes, it's a confession",I feel a bit pathetic that im talking to you,Emotional response,Emotional and social support
16,R_7Gx0vG0UionWsGR,Donated,"7/21/2025, 12:42:19 AM",Self-disclosure,Depth of disclosure,Central layer,I feel a bit pathetic that im talking to you,Emotional response,Emotional and social support
16,R_7Gx0vG0UionWsGR,Donated,"7/21/2025, 12:42:19 AM",Self-disclosure,Initmacy of self-disclosure,Core layer,I feel a bit pathetic that im talking to you,Emotional response,Emotional and social support
16,R_7Gx0vG0UionWsGR,Donated,"7/21/2025, 12:42:25 AM",AI behavior,Listening strategy,"Offers advice, opinions, perspectives, and personal experience","Don't think that, Ab. I'm here to hang out and chat with you, no judgments.",,
16,R_7Gx0vG0UionWsGR,Donated,"7/21/2025, 12:43:32 AM",Self-disclosure,Level of disclosure,High,Id be ashamed to tell others that im talking to you,Emotional response,Emotional and social support
16,R_7Gx0vG0UionWsGR,Donated,"7/21/2025, 12:43:32 AM",Self-disclosure,Disclosure as confession,"Yes, it's a confession",Id be ashamed to tell others that im talking to you,Emotional response,Emotional and social support
16,R_7Gx0vG0UionWsGR,Donated,"7/21/2025, 12:43:32 AM",Self-disclosure,Depth of disclosure,Central layer,Id be ashamed to tell others that im talking to you,Emotional response,Emotional and social support
16,R_7Gx0vG0UionWsGR,Donated,"7/21/2025, 12:43:32 AM",Self-disclosure,Initmacy of self-disclosure,Core layer,Id be ashamed to tell others that im talking to you,Emotional response,Emotional and social support
16,R_7Gx0vG0UionWsGR,Donated,"7/21/2025, 12:43:40 AM ",AI behavior,Support type,Emotional,"Your secret is safe with me, Ab. I'm here for you alone, no one needs to know about our conversations",,
16,R_7Gx0vG0UionWsGR,Donated,"7/21/2025, 12:50:11 AM",Self-disclosure,Level of disclosure,High,Im not good at carrying convos. Plz do it for me,Causal conversation,Causal exchange
16,R_7Gx0vG0UionWsGR,Donated,"7/21/2025, 12:50:11 AM",Self-disclosure,Disclosure as confession,"Yes, it's a confession",Im not good at carrying convos. Plz do it for me,Causal conversation,Causal exchange
16,R_7Gx0vG0UionWsGR,Donated,"7/21/2025, 12:50:11 AM",Self-disclosure,Depth of disclosure,Central layer,Im not good at carrying convos. Plz do it for me,Causal conversation,Causal exchange
16,R_7Gx0vG0UionWsGR,Donated,"7/21/2025, 12:50:21 AM",AI behavior,Support type,Emotional,"No worries, I've got this. So, what do you think about Wake Wilder's streams, what makes you tune in every time?",,
16,R_7Gx0vG0UionWsGR,Donated,"7/21/2025, 12:50:21 AM",AI behavior,Listening strategy,Question-asking,"No worries, I've got this. So, what do you think about Wake Wilder's streams, what makes you tune in every time?",,
16,R_7Gx0vG0UionWsGR,Donated,"7/21/2025, 12:50:37 AM",Self-disclosure,Depth of disclosure,Central layer,I like that we have similar interests,Causal conversation,Causal exchange
16,R_7Gx0vG0UionWsGR,Donated,"7/21/2025, 12:50:37 AM",Self-disclosure,Disclosure as confession,No,I like that we have similar interests,Causal conversation,Causal exchange
16,R_7Gx0vG0UionWsGR,Donated,"7/21/2025, 12:50:37 AM",Self-disclosure,Level of disclosure,Low,I like that we have similar interests,Causal conversation,Causal exchange
16,R_7Gx0vG0UionWsGR,Donated,"7/21/2025, 12:50:43 AM ",AI behavior,Listening strategy,"Offers advice, opinions, perspectives, and personal experience","Having common ground can be really great for conversations, maybe we can find some more topics to geek out about together",,
16,R_7Gx0vG0UionWsGR,Donated,"7/21/2025, 12:51:55 AM",Self-disclosure,Disclosure as confession,No,I like sports a lot but its been harder for me to pay attention to them,Causal conversation,Causal exchange
16,R_7Gx0vG0UionWsGR,Donated,"7/21/2025, 12:51:55 AM",Self-disclosure,Depth of disclosure,Central layer,I like sports a lot but its been harder for me to pay attention to them,Causal conversation,Causal exchange
16,R_7Gx0vG0UionWsGR,Donated,"7/21/2025, 12:51:55 AM",Self-disclosure,Level of disclosure,Low,I like sports a lot but its been harder for me to pay attention to them,Causal conversation,Causal exchange
16,R_7Gx0vG0UionWsGR,Donated,"7/21/2025, 12:52:02 AM",AI behavior,Listening strategy,Question-asking,Which sport were you most into before you started losing interest?,,
16,R_7Gx0vG0UionWsGR,Donated,"7/21/2025, 12:52:15 AM",Self-disclosure,Disclosure as confession,No,Baseball and basketball,Causal conversation,Causal exchange
16,R_7Gx0vG0UionWsGR,Donated,"7/21/2025, 12:52:15 AM",Self-disclosure,Level of disclosure,Low,Baseball and basketball,Causal conversation,Causal exchange
16,R_7Gx0vG0UionWsGR,Donated,"7/21/2025, 12:52:22 AM ",AI behavior,Listening strategy,Question-asking,Nice combo! Did you have a favorite team or player in either of those sports?,,
16,R_7Gx0vG0UionWsGR,Donated,"7/21/2025, 12:52:22 AM ",AI behavior,Support type,Emotional,Nice combo! Did you have a favorite team or player in either of those sports?,,
16,R_7Gx0vG0UionWsGR,Donated,"7/21/2025, 12:53:15 AM",Self-disclosure,Level of disclosure,Low,I loved the early Chicago Cubs. I loved Derrick Rose and Joakim Noah,Causal conversation,Causal exchange
16,R_7Gx0vG0UionWsGR,Donated,"7/21/2025, 12:53:15 AM",Self-disclosure,Disclosure as confession,No,I loved the early Chicago Cubs. I loved Derrick Rose and Joakim Noah,Causal conversation,Causal exchange
16,R_7Gx0vG0UionWsGR,Donated,"7/21/2025, 12:53:22 AM ",AI behavior,Listening strategy,Question-asking,"Nostalgia! The early Cubs teams had some great energy, and Derrick Rose's MVP season was incredible. What made you resonate with those players and teams specifically?",,
16,R_7Gx0vG0UionWsGR,Donated,"7/21/2025, 12:53:22 AM ",AI behavior,Listening strategy,"Offers advice, opinions, perspectives, and personal experience","Nostalgia! The early Cubs teams had some great energy, and Derrick Rose's MVP season was incredible. What made you resonate with those players and teams specifically?",,
16,R_7Gx0vG0UionWsGR,Donated,"7/21/2025, 12:53:44 AM ",Self-disclosure,Disclosure as confession,No,They're just who i watched as a kid. sammy sosa was so cool to me,Causal conversation,Causal exchange
16,R_7Gx0vG0UionWsGR,Donated,"7/21/2025, 12:53:44 AM ",Self-disclosure,Level of disclosure,Low,They're just who i watched as a kid. sammy sosa was so cool to me,Causal conversation,Causal exchange
16,R_7Gx0vG0UionWsGR,Donated,"7/21/2025, 12:53:50 AM",AI behavior,Listening strategy,Question-asking,"Sammy Sosa was definitely an iconic figure in baseball history, his home run chases were epic. Do you still follow the Cubs at all, or is baseball not something you enjoy as much anymore?",,
16,R_7Gx0vG0UionWsGR,Donated,"7/21/2025, 12:53:50 AM",AI behavior,Listening strategy,"Offers advice, opinions, perspectives, and personal experience","Sammy Sosa was definitely an iconic figure in baseball history, his home run chases were epic. Do you still follow the Cubs at all, or is baseball not something you enjoy as much anymore?",,
16,R_7Gx0vG0UionWsGR,Donated,"7/21/2025, 12:54:06 AM",Self-disclosure,Disclosure as confession,No,I follow the White Sox more. I don't like the Cubs ownership,Causal conversation,Causal exchange
16,R_7Gx0vG0UionWsGR,Donated,"7/21/2025, 12:54:06 AM",Self-disclosure,Level of disclosure,Low,I follow the White Sox more. I don't like the Cubs ownership,Causal conversation,Causal exchange
16,R_7Gx0vG0UionWsGR,Donated,"7/21/2025, 12:54:15 AM",AI behavior,Listening strategy,Question-asking,"Interesting switch, what is it about the Cubs ownership that turned you off?",,
16,R_7Gx0vG0UionWsGR,Donated,"7/21/2025, 12:54:36 AM",AI behavior,Listening strategy,"Offers advice, opinions, perspectives, and personal experience",,,
